item_code,description,qty_in_stock,bin,unit,last_updated
lm358n,Dual op-amp DIP8,1400,A-01,nos,2026-07-28
STM32F103C8T6,MCU ARM Cortex M3,120,A-02,nos,2026-07-30
10K 0603,Resistor 10K 1%,42000,B-11,nos,2026-07-25
10K 0603,Resistor 10K 1% (second lot),8000,B-12,nos,2026-07-29
100n0603,Cap 100nF X7R,15000,B-14,nos,2026-07-25
CAP-10UF-0805,Cap 10uF 16V,900,B-20,nos,2026-07-22
LED-RED-0805,LED Red,3200,C-04,nos,2026-07-20
1N4007,Diode 1A 1000V,6000,C-08,nos,2026-07-18
CONN-RJ45-8P,RJ45 shielded jack,60,D-02,nos,2026-07-30
XTAL-8MHZ,Crystal 8MHz,410,D-05,nos,2026-07-21
REG-7805,Regulator 5V TO220,850,D-09,nos,2026-07-27
RELAY-5V-SPDT,Relay SPDT 5V,140,E-01,nos,2026-07-26
FUSE-2A,Fuse 2A slow,2200,E-05,nos,2026-07-19
CONN-USB-B,USB type B jack,300,D-03,nos,2026-07-15
SW-TACT-6MM,Tact switch 6mm,5400,C-12,nos,2026-07-11
LM317T,Adjustable regulator,700,D-10,nos,2026-07-14
CAP-470UF-25V,Electrolytic 470uF 25V,1100,B-25,nos,2026-07-23
HEATSINK-TO220,Heatsink TO-220 clip,450,E-09,nos,2026-07-17
